,Games,Wins,Losses,Draws,Goals For,Goals Against,Goal Difference,Points
Man City,38.0,32.0,2.0,4.0,106.0,27.0,79.0,100.0
Man United,38.0,25.0,7.0,6.0,68.0,28.0,40.0,81.0
Tottenham,38.0,23.0,7.0,8.0,74.0,36.0,38.0,77.0
Liverpool,38.0,21.0,5.0,12.0,84.0,38.0,46.0,75.0
Chelsea,38.0,21.0,10.0,7.0,62.0,38.0,24.0,70.0
Arsenal,38.0,19.0,13.0,6.0,74.0,51.0,23.0,63.0
Burnley,38.0,14.0,12.0,12.0,36.0,39.0,-3.0,54.0
Everton,38.0,13.0,15.0,10.0,44.0,58.0,-14.0,49.0
Leicester,38.0,12.0,15.0,11.0,56.0,60.0,-4.0,47.0
Crystal Palace,38.0,11.0,16.0,11.0,45.0,55.0,-10.0,44.0
Bournemouth,38.0,11.0,16.0,11.0,45.0,61.0,-16.0,44.0
Newcastle,38.0,12.0,18.0,8.0,39.0,47.0,-8.0,44.0
West Ham,38.0,10.0,16.0,12.0,48.0,68.0,-20.0,42.0
Watford,38.0,11.0,19.0,8.0,44.0,64.0,-20.0,41.0
Brighton,38.0,9.0,16.0,13.0,34.0,54.0,-20.0,40.0
Huddersfield,38.0,9.0,19.0,10.0,28.0,58.0,-30.0,37.0
Southampton,38.0,7.0,16.0,15.0,37.0,56.0,-19.0,36.0
Stoke,38.0,7.0,19.0,12.0,35.0,68.0,-33.0,33.0
Swansea,38.0,8.0,21.0,9.0,28.0,56.0,-28.0,33.0
West Brom,38.0,6.0,19.0,13.0,31.0,56.0,-25.0,31.0
